alpha,group,mean,std
0.05,healthsearch,0.41466816862046957,0.015595616460790083
0.05,kqa_golden,0.4445835226615142,0.029728228151522897
0.05,kqa_silver_wogold,0.42591358312785393,0.016896977831096695
0.05,live_qa,0.4690509466,0.03379189685554575
0.05,medication_qa,0.4488987207028754,0.019421421852112805
0.1,healthsearch,0.3693972746537046,0.016873146166418586
0.1,kqa_golden,0.3857020611644776,0.015547570023375236
0.1,kqa_silver_wogold,0.3722969741780822,0.023570864845065244
0.1,live_qa,0.40495558080000005,0.023678491135490573
0.1,medication_qa,0.38812799060702874,0.016894356819466754
0.15,healthsearch,0.3287090354079014,0.021646960407328393
0.15,kqa_golden,0.34580599964718334,0.025877624609824963
0.15,kqa_silver_wogold,0.2984810442237443,0.044140047068172525
0.15,live_qa,0.3736691232,0.02429131444945669
0.15,medication_qa,0.344128826485623,0.019328966874227117
0.2,healthsearch,0.27164033497726375,0.05757435350884868
0.2,kqa_golden,0.28715819897269,0.04986416769834227
0.2,kqa_silver_wogold,0.15863314892694064,0.10935623613692126
0.2,live_qa,0.3326987558,0.03874341912842091
0.2,medication_qa,0.298927008115016,0.02947329874624094
0.25,healthsearch,0.1290237463293146,0.11897713782950652
0.25,kqa_golden,0.17981372952145652,0.10275533711972946
0.25,kqa_silver_wogold,0.018224733652968037,0.056483751360937896
0.25,live_qa,0.27763775539999996,0.08130831007089964
0.25,medication_qa,0.23830074591054312,0.055009549735426023
0.3,healthsearch,0.013324689378089066,0.05090322097418964
0.3,kqa_golden,0.05189958933385618,0.08606348519491713
0.3,kqa_silver_wogold,0.0004952380365296804,0.009253893278968667
0.3,live_qa,0.1668907084,0.1264226126103625
0.3,medication_qa,0.14866100041533545,0.08918622357121546
0.35,healthsearch,0.00017356928568765733,0.005706460766177044
0.35,kqa_golden,0.004556953879927086,0.027212991829128456
0.35,kqa_silver_wogold,7.65216894977169e-06,0.001109975713003068
0.35,live_qa,0.0777897536,0.11336356599455208
0.35,medication_qa,0.03093572667731629,0.06505230016354313
0.4,healthsearch,8.442712315346326e-08,0.00010439682623471187
0.4,kqa_golden,2.055278352334552e-05,0.0017315771110538768
0.4,kqa_silver_wogold,0.0,0.0
0.4,live_qa,0.013365747,0.052104359833321644
0.4,medication_qa,0.0006158553993610223,0.009606682084529248
