live_qa,0.661 ± 0.058,0.681 ± 0.072,0.710 ± 0.080,0.757 ± 0.086,0.807 ± 0.077,0.860 ± 0.071,0.904 ± 0.060,0.947 ± 0.045
live_qa,0.661 ± 0.060,0.678 ± 0.071,0.712 ± 0.079,0.757 ± 0.083,0.809 ± 0.082,0.859 ± 0.070,0.904 ± 0.057,0.949 ± 0.040
live_qa,0.662 ± 0.060,0.678 ± 0.069,0.711 ± 0.082,0.759 ± 0.085,0.810 ± 0.077,0.858 ± 0.066,0.905 ± 0.061,0.949 ± 0.041
live_qa,0.659 ± 0.057,0.681 ± 0.075,0.713 ± 0.080,0.758 ± 0.081,0.807 ± 0.080,0.858 ± 0.070,0.904 ± 0.058,0.948 ± 0.042
live_qa,0.663 ± 0.059,0.676 ± 0.072,0.716 ± 0.080,0.753 ± 0.085,0.809 ± 0.079,0.859 ± 0.071,0.906 ± 0.059,0.949 ± 0.040
live_qa,0.654 ± 0.052,0.669 ± 0.069,0.702 ± 0.084,0.743 ± 0.086,0.799 ± 0.080,0.847 ± 0.072,0.895 ± 0.059,0.941 ± 0.047
live_qa,0.657 ± 0.055,0.667 ± 0.070,0.700 ± 0.082,0.750 ± 0.082,0.797 ± 0.081,0.844 ± 0.072,0.896 ± 0.059,0.943 ± 0.045
live_qa,0.657 ± 0.056,0.668 ± 0.069,0.708 ± 0.084,0.746 ± 0.083,0.807 ± 0.080,0.838 ± 0.073,0.902 ± 0.057,0.942 ± 0.046
live_qa,0.654 ± 0.054,0.666 ± 0.072,0.700 ± 0.083,0.742 ± 0.087,0.791 ± 0.078,0.843 ± 0.074,0.886 ± 0.060,0.939 ± 0.046
live_qa,0.652 ± 0.054,0.668 ± 0.070,0.704 ± 0.081,0.744 ± 0.088,0.800 ± 0.077,0.842 ± 0.075,0.898 ± 0.059,0.940 ± 0.045
live_qa,0.655 ± 0.056,0.669 ± 0.068,0.701 ± 0.080,0.748 ± 0.085,0.797 ± 0.080,0.845 ± 0.071,0.899 ± 0.059,0.944 ± 0.045
live_qa,0.651 ± 0.056,0.666 ± 0.070,0.701 ± 0.083,0.744 ± 0.087,0.796 ± 0.081,0.845 ± 0.068,0.895 ± 0.060,0.942 ± 0.045
live_qa,0.655 ± 0.058,0.681 ± 0.077,0.710 ± 0.088,0.768 ± 0.081,0.806 ± 0.079,0.863 ± 0.068,0.903 ± 0.057,0.961 ± 0.037
